STEVAL-MKI251A (LSM6DSV320X)

G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
0.42875 	 -0.23625 	 0 	
0.525 	 -0.2625 	 -0.04375 	
0.5075 	 -0.21875 	 -0.07 	
0.53375 	 -0.20125 	 -0.00875 	
0.5425 	 -0.18375 	 -0.14 	
0.4725 	 -0.23625 	 -0.0525 	
0.51625 	 -0.28875 	 0.0175 	
0.385 	 -0.14875 	 0.02625 	
0.39375 	 -0.105 	 0.00875 	
0.56 	 -0.105 	 -0.07 	
0.49 	 -0.18375 	 -0.105 	
0.48125 	 -0.23625 	 -0.09625 	
0.4725 	 -0.3325 	 -0.09625 	
0.455 	 -0.11375 	 -0.0175 	
0.39375 	 -0.04375 	 -0.07 	
0.525 	 -0.13125 	 -0.00875 	
0.5075 	 0.09625 	 -0.07 	
0.51625 	 -0.105 	 -0.105 	
0.5425 	 -0.25375 	 -0.11375 	
0.34125 	 -0.2975 	 -0.0525 	
0.3675 	 -0.27125 	 -0.0175 	
0.4025 	 -0.20125 	 -0.0875 	
0.49875 	 -0.20125 	 0.00875 	
0.385 	 -0.1575 	 -0.035 	
0.32375 	 -0.0525 	 -0.0525 	
0.42 	 -0.1925 	 -0.0875 	
0.385 	 0.02625 	 0.035 	
0.4375 	 -0.21 	 -0.00875 	
0.48125 	 -0.21875 	 -0.0525 	
0.49875 	 -0.14875 	 -0.02625 	
0.46375 	 -0.16625 	 -0.09625 	
0.42 	 -0.13125 	 -0.035 	
0.455 	 -0.18375 	 -0.0175 	
0.39375 	 -0.14 	 -0.07 	
0.49875 	 -0.1575 	 -0.105 	
0.455 	 -0.32375 	 -0.0875 	
0.56 	 -0.3325 	 -0.0525 	
0.48125 	 -0.20125 	 -0.0525 	
0.48125 	 -0.175 	 -0.04375 	
0.385 	 -0.13125 	 -0.0875 	
0.37625 	 -0.175 	 -0.0525 	
0.42875 	 -0.18375 	 -0.0175 	
0.41125 	 -0.28 	 0.0175 	
0.35875 	 -0.16625 	 -0.06125 	
0.44625 	 -0.07875 	 -0.0875 	
0.4725 	 -0.16625 	 0.0525 	
0.55125 	 -0.09625 	 0.00875 	
0.56875 	 -0.07875 	 0 	
0.48125 	 -0.23625 	 0.04375 	
0.42875 	 -0.23625 	 0.04375 	
0.46375 	 -0.48125 	 -0.0175 	
0.56875 	 -0.21 	 -0.00875 	
0.525 	 -0.14875 	 -0.035 	
0.53375 	 -0.245 	 -0.0525 	
0.4725 	 -0.2275 	 0.0175 	
0.4725 	 -0.1925 	 -0.02625 	
0.3325 	 -0.21 	 -0.04375 	
0.525 	 -0.21875 	 -0.00875 	
0.4725 	 -0.09625 	 -0.035 	
0.37625 	 -0.16625 	 -0.0175 	
0.4025 	 -0.2275 	 0.0175 	
0.455 	 -0.27125 	 -0.00875 	
0.42875 	 -0.14 	 -0.0525 	
0.30625 	 0.035 	 -0.0175 	
0.27125 	 0 	 -0.105 	
0.48125 	 -0.25375 	 -0.0875 	
0.4725 	 -0.1925 	 -0.06125 	
0.34125 	 -0.0175 	 -0.09625 	
0.39375 	 -0.0175 	 -0.07 	
0.315 	 0.09625 	 -0.0875 	
0.27125 	 0.175 	 0.07875 	
0.35 	 -0.16625 	 -0.0175 	
