STEVAL-MKI247A (LSM6DSV80X)

G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
0.2975 	 -0.11375 	 -0.07 	
0.35875 	 -0.1575 	 -0.04375 	
0.385 	 -0.20125 	 -0.06125 	
0.51625 	 -0.2625 	 -0.07875 	
0.60375 	 -0.20125 	 -0.1225 	
0.49 	 -0.175 	 -0.04375 	
0.37625 	 -0.18375 	 0.02625 	
0.30625 	 -0.175 	 -0.04375 	
0.4025 	 -0.14875 	 -0.06125 	
0.37625 	 -0.16625 	 -0.035 	
0.55125 	 -0.21 	 0.02625 	
0.46375 	 -0.21875 	 0.00875 	
0.48125 	 -0.18375 	 -0.0525 	
0.4375 	 -0.18375 	 -0.06125 	
0.41125 	 -0.21875 	 -0.02625 	
0.42 	 -0.14875 	 -0.07 	
0.42 	 -0.2275 	 -0.13125 	
0.42 	 -0.21 	 -0.07875 	
0.39375 	 -0.21 	 -0.04375 	
0.51625 	 -0.21 	 -0.0875 	
0.51625 	 -0.1575 	 -0.0525 	
0.49 	 -0.07 	 -0.035 	
0.4725 	 -0.16625 	 -0.0875 	
0.53375 	 -0.2275 	 -0.105 	
0.4725 	 -0.14875 	 -0.105 	
0.34125 	 -0.21875 	 -0.07 	
0.315 	 -0.0875 	 -0.04375 	
0.35875 	 -0.18375 	 -0.035 	
0.315 	 -0.16625 	 -0.0875 	
0.46375 	 -0.32375 	 -0.0525 	
0.53375 	 -0.28 	 -0.09625 	
0.39375 	 -0.21 	 -0.14 	
0.37625 	 -0.175 	 0.00875 	
0.48125 	 -0.23625 	 0 	
0.37625 	 -0.245 	 0.0175 	
0.4725 	 -0.14875 	 -0.04375 	
0.455 	 -0.175 	 -0.04375 	
0.46375 	 -0.035 	 -0.02625 	
0.4725 	 -0.105 	 -0.0875 	
0.48125 	 -0.245 	 -0.1225 	
0.4025 	 -0.1925 	 -0.0175 	
0.385 	 -0.13125 	 -0.02625 	
0.4025 	 -0.21875 	 0.0175 	
0.3675 	 -0.21875 	 0.02625 	
0.37625 	 -0.1925 	 -0.07875 	
0.42 	 -0.21 	 -0.105 	
0.39375 	 -0.21875 	 -0.04375 	
0.455 	 -0.2975 	 -0.09625 	
0.5075 	 -0.25375 	 -0.0525 	
0.5425 	 -0.14 	 -0.14875 	
0.4375 	 -0.07875 	 -0.09625 	
0.3325 	 -0.105 	 -0.1225 	
0.20125 	 -0.0875 	 -0.09625 	
0.4725 	 -0.21875 	 -0.04375 	
0.4375 	 -0.2975 	 -0.02625 	
0.46375 	 -0.27125 	 -0.06125 	
0.39375 	 -0.2625 	 -0.035 	
0.37625 	 -0.2275 	 -0.00875 	
0.455 	 -0.1575 	 -0.00875 	
0.48125 	 -0.2275 	 -0.02625 	
0.4025 	 -0.30625 	 0.0175 	
0.30625 	 -0.14875 	 -0.0525 	
0.41125 	 -0.0525 	 0 	
0.3675 	 -0.0525 	 -0.035 	
0.39375 	 -0.07875 	 -0.06125 	
0.49 	 -0.21 	 0 	
0.455 	 -0.1575 	 0 	
0.42875 	 -0.18375 	 -0.0525 	
0.4375 	 -0.2275 	 -0.02625 	
0.3325 	 -0.20125 	 -0.06125 	
0.41125 	 -0.1925 	 -0.035 	
0.4375 	 -0.11375 	 -0.07 	
0.4725 	 -0.20125 	 -0.0875 	
0.35875 	 -0.13125 	 -0.07 	
0.4025 	 -0.14 	 -0.09625 	
0.37625 	 -0.07 	 0 	
0.4025 	 0.00875 	 -0.0175 	
0.35875 	 -0.035 	 0.035 	
0.3675 	 -0.2275 	 0.035 	
0.4375 	 -0.35 	 -0.105 	
0.39375 	 -0.21875 	 -0.0175 	
0.48125 	 -0.105 	 -0.04375 	
0.49875 	 -0.18375 	 -0.06125 	
0.39375 	 -0.06125 	 -0.07 	
0.4725 	 -0.07875 	 -0.11375 	
0.53375 	 -0.18375 	 -0.11375 	
0.53375 	 -0.245 	 0 	
0.44625 	 -0.37625 	 -0.07875 	
0.49875 	 -0.20125 	 -0.0875 	
0.49 	 -0.14875 	 -0.04375 	
0.46375 	 -0.09625 	 0 	
0.3325 	 -0.2275 	 -0.04375 	
0.455 	 -0.21875 	 -0.07875 	
0.44625 	 -0.105 	 -0.035 	
0.49 	 -0.0875 	 -0.06125 	
0.39375 	 -0.18375 	 -0.07875 	
0.48125 	 -0.14 	 -0.13125 	
0.44625 	 -0.14875 	 -0.1225 	
0.4375 	 -0.21 	 -0.13125 	
0.41125 	 -0.21875 	 -0.11375 	
0.4025 	 -0.16625 	 -0.07 	
0.44625 	 -0.175 	 -0.07 	
0.525 	 -0.28 	 -0.02625 	
0.5075 	 -0.14 	 -0.09625 	
0.44625 	 -0.18375 	 -0.02625 	
0.42875 	 -0.07 	 -0.035 	
0.525 	 -0.21875 	 -0.04375 	
0.525 	 -0.16625 	 -0.04375 	
0.41125 	 -0.18375 	 -0.07875 	
0.41125 	 -0.14 	 -0.09625 	
0.55125 	 -0.14 	 -0.04375 	
0.51625 	 -0.18375 	 -0.09625 	
0.34125 	 -0.23625 	 -0.0875 	
0.49875 	 -0.175 	 -0.0525 	
0.48125 	 -0.18375 	 -0.0875 	
0.385 	 -0.1925 	 -0.11375 	
0.3325 	 -0.07875 	 -0.06125 	
0.37625 	 -0.09625 	 -0.0525 	
0.39375 	 -0.14 	 -0.0525 	
0.46375 	 -0.1925 	 0.02625 	
0.455 	 -0.245 	 0.0175 	
0.5075 	 -0.16625 	 -0.035 	
0.4725 	 -0.23625 	 0 	
0.4725 	 -0.23625 	 0.07875 	
0.35875 	 -0.13125 	 -0.0875 	
0.39375 	 -0.1575 	 -0.07875 	
0.49875 	 -0.2275 	 -0.1225 	
0.4725 	 -0.2625 	 -0.14 	
0.48125 	 -0.315 	 -0.04375 	
0.51625 	 -0.2275 	 -0.07875 	
0.525 	 -0.14875 	 -0.0525 	
0.55125 	 -0.28 	 -0.035 	
0.4725 	 -0.34125 	 -0.09625 	
0.44625 	 -0.41125 	 -0.07 	
0.34125 	 -0.2975 	 -0.0525 	
0.3675 	 -0.25375 	 -0.06125 	
0.35 	 -0.1575 	 -0.0175 	
0.385 	 -0.06125 	 0.0175 	
0.39375 	 -0.11375 	 -0.09625 	
0.55125 	 -0.23625 	 -0.1225 	
0.385 	 -0.0525 	 -0.00875 	
0.35 	 -0.14 	 -0.07875 	
0.4025 	 -0.32375 	 -0.035 	
0.49875 	 -0.3325 	 -0.09625 	
0.5425 	 -0.25375 	 -0.105 	
0.46375 	 -0.35875 	 -0.105 	
0.53375 	 -0.37625 	 -0.11375 	
0.44625 	 -0.25375 	 -0.06125 	
0.42 	 -0.2275 	 -0.00875 	
0.4725 	 -0.13125 	 -0.0525 	
0.4725 	 -0.16625 	 -0.09625 	
0.5425 	 -0.23625 	 0.035 	
0.4725 	 -0.09625 	 0.0175 	
0.44625 	 -0.09625 	 -0.035 	
0.4725 	 -0.30625 	 -0.11375 	
0.3325 	 -0.20125 	 -0.07875 	
0.35 	 -0.2625 	 -0.0175 	
0.385 	 -0.14875 	 0.0175 	
0.35875 	 -0.2625 	 -0.1225 	
0.455 	 -0.23625 	 -0.105 	
0.58625 	 -0.23625 	 -0.07875 	
0.4025 	 -0.245 	 -0.02625 	
0.595 	 -0.39375 	 -0.0525 	
0.56875 	 -0.28 	 -0.02625 	
0.56875 	 -0.25375 	 -0.0875 	
0.4025 	 -0.245 	 -0.0525 	
0.315 	 -0.23625 	 -0.00875 	
0.5425 	 -0.0875 	 -0.0175 	
0.455 	 -0.3325 	 0.02625 	
0.42 	 -0.30625 	 -0.06125 	
0.46375 	 -0.18375 	 -0.0525 	
0.48125 	 -0.28875 	 -0.0875 	
0.48125 	 -0.2975 	 -0.13125 	
0.49875 	 -0.23625 	 -0.1575 	
0.3325 	 -0.14875 	 -0.07 	
0.41125 	 -0.30625 	 -0.04375 	
0.46375 	 -0.13125 	 -0.04375 	
0.49875 	 -0.1225 	 -0.035 	
0.4025 	 -0.21 	 0.00875 	
0.4375 	 -0.39375 	 -0.0175 	
0.44625 	 -0.385 	 -0.02625 	
0.4725 	 -0.1925 	 -0.06125 	
0.44625 	 -0.14875 	 -0.11375 	
0.48125 	 -0.14 	 -0.035 	
0.42 	 -0.175 	 -0.0875 	
0.39375 	 -0.14 	 -0.035 	
0.35 	 -0.2625 	 -0.06125 	
0.49 	 -0.3325 	 -0.00875 	
0.5075 	 -0.14 	 -0.07875 	
0.49875 	 -0.14875 	 -0.0525 	
0.5425 	 -0.07875 	 0 	
0.455 	 -0.20125 	 -0.02625 	
0.42 	 -0.28 	 -0.13125 	
0.4725 	 -0.2625 	 -0.14 	
0.41125 	 -0.18375 	 -0.11375 	
0.3325 	 -0.2625 	 -0.07875 	
0.3325 	 -0.09625 	 -0.1225 	
0.49875 	 -0.35875 	 -0.04375 	
0.48125 	 -0.35 	 -0.06125 	
0.525 	 -0.28 	 -0.09625 	
0.41125 	 -0.2625 	 -0.02625 	
0.48125 	 -0.21875 	 -0.06125 	
0.49 	 -0.2625 	 -0.07 	
0.48125 	 -0.1925 	 0 	
0.48125 	 -0.14875 	 0 	
0.48125 	 -0.28875 	 0.02625 	
0.42 	 -0.21875 	 -0.07 	
0.44625 	 -0.245 	 -0.09625 	
0.525 	 -0.245 	 -0.04375 	
0.455 	 -0.13125 	 -0.02625 	
0.35 	 -0.1225 	 -0.0875 	
0.35875 	 -0.1575 	 -0.035 	
0.3675 	 -0.175 	 -0.07875 	
0.42 	 -0.175 	 -0.0175 	
0.525 	 -0.27125 	 -0.07 	
0.49875 	 -0.2975 	 -0.07 	
0.41125 	 -0.09625 	 -0.07875 	
0.3675 	 0.02625 	 -0.035 	
0.39375 	 0.04375 	 -0.105 	
0.41125 	 -0.105 	 -0.07875 	
0.4375 	 -0.1575 	 -0.105 	
0.51625 	 -0.21 	 -0.0175 	
0.42 	 -0.105 	 -0.035 	
0.34125 	 -0.06125 	 -0.035 	
0.4025 	 -0.16625 	 -0.0525 	
0.385 	 -0.14 	 -0.035 	
0.3325 	 -0.175 	 -0.0175 	
0.49 	 -0.0525 	 -0.07 	
0.595 	 -0.13125 	 -0.13125 	
0.44625 	 -0.0525 	 -0.07 	
0.4375 	 0.07875 	 -0.0875 	
0.4375 	 -0.02625 	 -0.00875 	
0.3325 	 -0.1225 	 -0.105 	
0.49 	 -0.175 	 -0.11375 	
0.5075 	 -0.06125 	 -0.07875 	
0.35875 	 -0.0875 	 -0.13125 	
0.525 	 -0.1225 	 -0.105 	
0.4025 	 -0.0525 	 0.02625 	
0.4725 	 -0.07875 	 -0.07875 	
0.4025 	 -0.2975 	 -0.07875 	
0.42 	 -0.2275 	 -0.09625 	
0.4375 	 -0.18375 	 -0.11375 	
0.35 	 -0.175 	 -0.07875 	
0.49 	 -0.14 	 -0.13125 	
0.46375 	 -0.2275 	 -0.035 	
0.4375 	 -0.27125 	 -0.07 	
0.55125 	 -0.07875 	 -0.04375 	
0.4725 	 -0.175 	 -0.0525 	
0.60375 	 -0.25375 	 0 	
0.595 	 -0.1575 	 0 	
0.49875 	 -0.0525 	 -0.02625 	
0.455 	 -0.175 	 0.0175 	
0.51625 	 -0.32375 	 -0.0175 	
0.3325 	 -0.25375 	 0.0525 	
0.2975 	 -0.11375 	 -0.035 	
0.30625 	 -0.14875 	 -0.04375 	
0.35 	 -0.1575 	 -0.0875 	
0.49 	 -0.09625 	 -0.04375 	
0.37625 	 -0.00875 	 0 	
0.4375 	 -0.07875 	 -0.035 	
