Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	
14247	-9390	-1857	618	-1145.580	-226.554	75.396	
34561	-9419	-1617	802	-1149.118	-197.274	97.844	
54876	-8523	-1159	1010	-1039.806	-141.398	123.220	
75191	-7618	-594	1243	-929.396	-72.468	151.646	
95507	-7240	-391	1401	-883.280	-47.702	170.922	
115821	-7081	-627	1383	-863.882	-76.494	168.726	
136136	-6777	-1033	1318	-826.794	-126.026	160.796	
156451	-6523	-1515	1386	-795.806	-184.830	169.092	
176766	-6371	-2052	1483	-777.262	-250.344	180.926	
197081	-6367	-2308	1386	-776.774	-281.576	169.092	
217394	-6467	-2245	1311	-788.974	-273.890	159.942	
237706	-6598	-2495	1444	-804.956	-304.390	176.168	
258021	-6847	-3063	1703	-835.334	-373.686	207.766	
278334	-7139	-3398	1931	-870.958	-414.556	235.582	
298648	-7394	-3286	2052	-902.068	-400.892	250.344	
318960	-7792	-3006	2080	-950.624	-366.732	253.760	
339272	-8307	-2943	2070	-1013.454	-359.046	252.540	
359584	-8531	-2955	1950	-1040.782	-360.510	237.900	
379897	-9088	-2645	1881	-1108.736	-322.690	229.482	
400210	-10399	-2711	1810	-1268.678	-330.742	220.820	
420525	-11612	-3244	1802	-1416.664	-395.768	219.844	
440838	-12481	-3548	1662	-1522.682	-432.856	202.764	
461151	-12433	-3571	1576	-1516.826	-435.662	192.272	
481464	-11618	-3462	1690	-1417.396	-422.364	206.180	
501777	-10516	-3453	1741	-1282.952	-421.266	212.402	
522089	-8973	-3337	1907	-1094.706	-407.114	232.654	
542403	-7561	-3192	1940	-922.442	-389.424	236.680	
562716	-7082	-3172	1775	-864.004	-386.984	216.550	
583031	-7928	-3356	1612	-967.216	-409.432	196.664	
603347	-8661	-3146	1487	-1056.642	-383.812	181.414	
623663	-9108	-2780	1328	-1111.176	-339.160	162.016	
643980	-9702	-2416	1067	-1183.644	-294.752	130.174	
664295	-9873	-1698	946	-1204.506	-207.156	115.412	
684610	-9572	-994	864	-1167.784	-121.268	105.408	
704926	-9215	-498	720	-1124.230	-60.756	87.840	
725240	-8773	-211	612	-1070.306	-25.742	74.664	
745556	-8346	-49	574	-1018.212	-5.978	70.028	
765871	-8078	-227	342	-985.516	-27.694	41.724	
786185	-7662	-587	151	-934.764	-71.614	18.422	
806498	-7256	-1034	27	-885.232	-126.148	3.294	
826814	-7181	-1424	-59	-876.082	-173.728	-7.198	
847128	-7160	-1834	-153	-873.520	-223.748	-18.666	
867444	-6936	-2152	-347	-846.192	-262.544	-42.334	
887759	-6781	-2382	-310	-827.282	-290.604	-37.820	
908074	-6935	-2262	-118	-846.070	-275.964	-14.396	
928391	-7126	-1725	6	-869.372	-210.450	0.732	
948706	-7037	-1261	196	-858.514	-153.842	23.912	
969019	-7199	-1035	245	-878.278	-126.270	29.890	
989337	-7798	-674	228	-951.356	-82.228	27.816	
1009654	-8560	-574	113	-1044.320	-70.028	13.786	
1029970	-8804	-516	133	-1074.088	-62.952	16.226	
1050287	-9142	-810	188	-1115.324	-98.820	22.936	
1070603	-9167	-1227	262	-1118.374	-149.694	31.964	
1090920	-8432	-1768	146	-1028.704	-215.696	17.812	
1111235	-8083	-2952	-129	-986.126	-360.144	-15.738	
1131550	-8315	-3930	-124	-1014.430	-479.460	-15.128	
1151864	-8833	-3031	173	-1077.626	-369.782	21.106	
1172178	-9454	-1737	673	-1153.388	-211.914	82.106	
1192493	-9709	-1576	979	-1184.498	-192.272	119.438	
1212809	-9134	-1661	1085	-1114.348	-202.642	132.370	
1233124	-8282	-1444	989	-1010.404	-176.168	120.658	
1253440	-7795	-1292	732	-950.990	-157.624	89.304	
1273755	-7640	-1566	563	-932.080	-191.052	68.686	
1294070	-7690	-1965	521	-938.180	-239.730	63.562	
1314388	-7847	-2394	348	-957.334	-292.068	42.456	
1334702	-7965	-2990	-110	-971.730	-364.780	-13.420	
1355019	-8080	-3428	-477	-985.760	-418.216	-58.194	
1375336	-8202	-3555	-430	-1000.644	-433.710	-52.460	
1395650	-8162	-3608	-9	-995.764	-440.176	-1.098	
1415964	-8225	-3712	535	-1003.450	-452.864	65.270	
1436275	-8433	-3636	987	-1028.826	-443.592	120.414	
1456589	-8692	-3437	1413	-1060.424	-419.314	172.386	
1476903	-9018	-3403	1898	-1100.196	-415.166	231.556	
1497216	-9363	-3407	2434	-1142.286	-415.654	296.948	
1517531	-9494	-3607	2222	-1158.268	-440.054	271.084	
1537847	-10046	-3914	1911	-1225.612	-477.508	233.142	
1558165	-10801	-4284	2103	-1317.722	-522.648	256.566	
1578481	-10355	-4688	2557	-1263.310	-571.936	311.954	
1598799	-9523	-4740	2774	-1161.806	-578.280	338.428	
1619116	-8652	-4318	2744	-1055.544	-526.796	334.768	
1639432	-9041	-4040	2902	-1103.002	-492.880	354.044	
1659750	-10581	-4295	2855	-1290.882	-523.990	348.310	
1680066	-11550	-4277	2452	-1409.100	-521.794	299.144	
1700380	-12325	-3687	2051	-1503.650	-449.814	250.222	
1720699	-12329	-2747	1742	-1504.138	-335.134	212.524	
1741014	-11193	-1816	1529	-1365.546	-221.552	186.538	
1761330	-9907	-1271	1255	-1208.654	-155.062	153.110	
1781649	-9038	-1176	1083	-1102.636	-143.472	132.126	
1801965	-8570	-1253	1061	-1045.540	-152.866	129.442	
1822283	-8326	-1358	855	-1015.772	-165.676	104.310	
1842598	-7888	-1491	545	-962.336	-181.902	66.490	
1862915	-7400	-1579	207	-902.800	-192.638	25.254	
1883230	-7029	-1613	-38	-857.538	-196.786	-4.636	
1903547	-6723	-1563	-146	-820.206	-190.686	-17.812	
1923866	-6450	-1365	-137	-786.900	-166.530	-16.714	
1944184	-6216	-1142	-70	-758.352	-139.324	-8.540	
1964501	-5981	-983	20	-729.682	-119.926	2.440	
1984817	-5793	-1037	141	-706.746	-126.514	17.202	
2005133	-5731	-1165	272	-699.182	-142.130	33.184	
2025450	-5701	-1235	394	-695.522	-150.670	48.068	
2045767	-5763	-1377	501	-703.086	-167.994	61.122	
2066085	-6087	-1638	535	-742.614	-199.836	65.270	
2086399	-6832	-1787	579	-833.504	-218.014	70.638	
2106715	-8230	-1858	604	-1004.060	-226.676	73.688	
2127032	-9457	-1625	373	-1153.754	-198.250	45.506	
2147350	-10285	-1272	172	-1254.770	-155.184	20.984	
2167671	-10759	-1242	133	-1312.598	-151.524	16.226	
2187992	-10396	-1928	521	-1268.312	-235.216	63.562	
2208312	-9937	-2765	1054	-1212.314	-337.330	128.588	
2228627	-10047	-2731	920	-1225.734	-333.182	112.240	
2248942	-10511	-1880	540	-1282.342	-229.360	65.880	
2269255	-10766	-1444	271	-1313.452	-176.168	33.062	
2289567	-10369	-1695	47	-1265.018	-206.790	5.734	
2309881	-9669	-1894	189	-1179.618	-231.068	23.058	
2330195	-9045	-1871	662	-1103.490	-228.262	80.764	
2350510	-8448	-2097	966	-1030.656	-255.834	117.852	
2370825	-7912	-2541	897	-965.264	-310.002	109.434	
2391138	-7557	-3008	637	-921.954	-366.976	77.714	
2411453	-7331	-3291	418	-894.382	-401.502	50.996	
2431768	-7263	-3304	385	-886.086	-403.088	46.970	
2452085	-7207	-3130	371	-879.254	-381.860	45.262	
2472404	-7267	-3052	695	-886.574	-372.344	84.790	
2492720	-7399	-3058	893	-902.678	-373.076	108.946	
2513039	-7392	-2872	1079	-901.824	-350.384	131.638	
2533360	-7574	-2648	1358	-924.028	-323.056	165.676	
2553676	-7879	-2469	1375	-961.238	-301.218	167.750	
2573993	-8075	-2671	1749	-985.150	-325.862	213.378	
2594310	-8451	-3536	2067	-1031.022	-431.392	252.174	
2614628	-8963	-4296	2333	-1093.486	-524.112	284.626	
2634942	-9664	-4901	2385	-1179.008	-597.922	290.970	
2655256	-10843	-5536	2194	-1322.846	-675.392	267.668	
2675575	-11940	-5537	2204	-1456.680	-675.514	268.888	
2695895	-11849	-4742	2337	-1445.578	-578.524	285.114	
2716215	-11432	-3978	2351	-1394.704	-485.316	286.822	
2736534	-10624	-3502	2260	-1296.128	-427.244	275.720	
2756851	-9102	-2960	2109	-1110.444	-361.120	257.298	
2777166	-8102	-2658	1737	-988.444	-324.276	211.914	
2797479	-8784	-2828	1708	-1071.648	-345.016	208.376	
2817794	-9809	-2967	1663	-1196.698	-361.974	202.886	
2838112	-10129	-2840	1636	-1235.738	-346.480	199.592	
2858426	-10579	-2877	1503	-1290.638	-350.994	183.366	
2878742	-10659	-2689	1385	-1300.398	-328.058	168.970	
2899059	-10310	-2188	1022	-1257.820	-266.936	124.684	
2919375	-9874	-1638	498	-1204.628	-199.836	60.756	
2939693	-9267	-1071	47	-1130.574	-130.662	5.734	
2960010	-8517	-484	-169	-1039.074	-59.048	-20.618	
2980328	-7960	-132	-140	-971.120	-16.104	-17.080	
3000644	-7648	-168	-182	-933.056	-20.496	-22.204	
3020959	-7238	-375	-259	-883.036	-45.750	-31.598	
3041274	-6732	-408	-317	-821.304	-49.776	-38.674	
3061588	-6338	-839	-376	-773.236	-102.358	-45.872	
3081906	-6278	-1650	-440	-765.916	-201.300	-53.680	
3102221	-6262	-2134	-434	-763.964	-260.348	-52.948	
3122536	-6390	-2121	-332	-779.580	-258.762	-40.504	
3142850	-6584	-1928	-259	-803.248	-235.216	-31.598	
3163165	-6491	-1698	-109	-791.902	-207.156	-13.298	
3183482	-6559	-1565	71	-800.198	-190.930	8.662	
3203796	-6771	-1397	176	-826.062	-170.434	21.472	
3224110	-7565	-1397	518	-922.930	-170.434	63.196	
3244423	-8687	-1490	596	-1059.814	-181.780	72.712	
3264736	-9160	-1272	514	-1117.520	-155.184	62.708	
3285050	-9030	-1285	542	-1101.660	-156.770	66.124	
3305366	-8320	-1470	638	-1015.040	-179.340	77.836	
3325682	-7702	-1877	893	-939.644	-228.994	108.946	
3345999	-8063	-2384	1500	-983.686	-290.848	183.000	
3366316	-9052	-2667	2152	-1104.344	-325.374	262.544	
3386635	-9817	-2478	2246	-1197.674	-302.316	274.012	
3406952	-10202	-1952	1864	-1244.644	-238.144	227.408	
3427270	-10081	-1495	1544	-1229.882	-182.390	188.368	
3447588	-9362	-1540	1384	-1142.164	-187.880	168.848	
3467905	-8750	-1515	1403	-1067.500	-184.830	171.166	
3488220	-8293	-1329	1480	-1011.746	-162.138	180.560	
3508536	-7953	-1469	1487	-970.266	-179.218	181.414	
3528853	-8072	-1895	1270	-984.784	-231.190	154.940	
3549169	-8326	-2329	834	-1015.772	-284.138	101.748	
3569487	-8393	-2758	336	-1023.946	-336.476	40.992	
3589805	-8517	-3091	89	-1039.074	-377.102	10.858	
3610121	-8697	-3292	56	-1061.034	-401.624	6.832	
3630437	-8669	-3437	266	-1057.618	-419.314	32.452	
3650752	-8476	-3507	671	-1034.072	-427.854	81.862	
3671065	-8544	-3423	1035	-1042.368	-417.606	126.270	
3691381	-8963	-3604	1272	-1093.486	-439.688	155.184	
3711699	-9152	-3983	1459	-1116.544	-485.926	177.998	
3732015	-9431	-4082	1490	-1150.582	-498.004	181.780	
3752331	-10275	-4403	1604	-1253.550	-537.166	195.688	
3772645	-11450	-4606	1947	-1396.900	-561.932	237.534	
3792960	-11743	-4140	1944	-1432.646	-505.080	237.168	
3813273	-11443	-3645	2122	-1396.046	-444.690	258.884	
3833590	-10132	-3414	2488	-1236.104	-416.508	303.536	
3853906	-8352	-3242	2706	-1018.944	-395.524	330.132	
3874225	-7293	-3335	2479	-889.746	-406.870	302.438	
3894541	-7994	-3741	2174	-975.268	-456.402	265.228	
3914857	-9515	-3930	1867	-1160.830	-479.460	227.774	
3935172	-10395	-3816	1473	-1268.190	-465.552	179.706	
3955487	-11238	-3635	1164	-1371.036	-443.470	142.008	
3975803	-11565	-3182	1010	-1410.930	-388.204	123.220	
3996120	-11007	-2278	854	-1342.854	-277.916	104.188	
4016437	-10386	-1386	748	-1267.092	-169.092	91.256	
4036756	-9944	-677	803	-1213.168	-82.594	97.966	
4057073	-9423	-243	972	-1149.606	-29.646	118.584	
4077388	-8888	-60	1066	-1084.336	-7.320	130.052	
4097703	-8413	-159	1029	-1026.386	-19.398	125.538	
4118017	-7952	-482	751	-970.144	-58.804	91.622	
4138333	-7597	-935	402	-926.834	-114.070	49.044	
4158649	-7209	-1314	180	-879.498	-160.308	21.960	
4178964	-6868	-1610	110	-837.896	-196.420	13.420	
4199280	-6551	-1788	365	-799.222	-218.136	44.530	
4219595	-6434	-1686	580	-784.948	-205.692	70.760	
4239912	-6332	-1261	530	-772.504	-153.842	64.660	
4260228	-5950	-810	938	-725.900	-98.820	114.436	
4280544	-5795	-435	1398	-706.990	-53.070	170.556	
4300860	-6095	-113	1190	-743.590	-13.786	145.180	
4321177	-6878	-166	783	-839.116	-20.252	95.526	
4341492	-7852	-613	985	-957.944	-74.786	120.170	
4361808	-8803	-872	875	-1073.966	-106.384	106.750	
4382124	-8966	-1014	719	-1093.852	-123.708	87.718	
4402439	-8344	-1536	828	-1017.968	-187.392	101.016	
4422753	-7913	-2251	1018	-965.386	-274.622	124.196	
4443066	-7736	-2637	1086	-943.792	-321.714	132.492	
4463383	-8026	-2711	1285	-979.172	-330.742	156.770	
4483700	-9083	-2421	1101	-1108.126	-295.362	134.322	
4504017	-10259	-2169	397	-1251.598	-264.618	48.434	
4524334	-11316	-2289	-239	-1380.552	-279.258	-29.158	
4544648	-11394	-2203	-284	-1390.068	-268.766	-34.648	
4564962	-10434	-2042	60	-1272.948	-249.124	7.320	
4585279	-9489	-1851	316	-1157.658	-225.822	38.552	
4605595	-8948	-1943	414	-1091.656	-237.046	50.508	
4625909	-8590	-2157	418	-1047.980	-263.154	50.996	
4646223	-8509	-2285	354	-1038.098	-278.770	43.188	
4666535	-8598	-2544	198	-1048.956	-310.368	24.156	
4686848	-8637	-3048	5	-1053.714	-371.856	0.610	
4707163	-8590	-3434	-2	-1047.980	-418.948	-0.244	
4727478	-8456	-3338	358	-1031.632	-407.236	43.676	
4747794	-8320	-2904	429	-1015.040	-354.288	52.338	
4768110	-8305	-2748	524	-1013.210	-335.256	63.928	
4788426	-8501	-2984	1098	-1037.122	-364.048	133.956	
4808742	-8516	-3260	1630	-1038.952	-397.720	198.860	
4829056	-8396	-3563	1756	-1024.312	-434.686	214.232	
4849375	-8946	-4018	1634	-1091.412	-490.196	199.348	
4869690	-9766	-4459	1716	-1191.452	-543.998	209.352	
4890005	-10740	-4667	1837	-1310.280	-569.374	224.114	
4910322	-11339	-4577	2119	-1383.358	-558.394	258.518	
4930636	-11165	-4283	2469	-1362.130	-522.526	301.218	
4950952	-10499	-3869	2827	-1280.878	-472.018	344.894	
4971266	-9383	-3442	3218	-1144.726	-419.924	392.596	
4991584	-8351	-3316	3371	-1018.822	-404.552	411.262	
5011902	-7691	-3347	3032	-938.302	-408.334	369.904	
5032221	-8370	-3544	2444	-1021.140	-432.368	298.168	
5052537	-9861	-3513	1612	-1203.042	-428.586	196.664	
5072855	-11150	-3304	873	-1360.300	-403.088	106.506	
5093171	-12112	-2849	316	-1477.664	-347.578	38.552	
5113492	-11976	-1741	355	-1461.072	-212.402	43.310	
5133812	-10821	-1206	492	-1320.162	-147.132	60.024	
5154131	-9925	-907	817	-1210.850	-110.654	99.674	
5174447	-9437	-357	929	-1151.314	-43.554	113.338	
5194763	-8881	103	826	-1083.482	12.566	100.772	
5215080	-8406	340	689	-1025.532	41.480	84.058	
5235396	-7975	252	613	-972.950	30.744	74.786	
5255711	-7581	-324	561	-924.882	-39.528	68.442	
5276028	-7241	-906	355	-883.402	-110.532	43.310	
5296342	-6900	-1153	190	-841.800	-140.666	23.180	
5316655	-6574	-1392	87	-802.028	-169.824	10.614	
5336970	-6333	-1542	140	-772.626	-188.124	17.080	
5357285	-6134	-1407	258	-748.348	-171.654	31.476	
5377601	-5932	-1077	458	-723.704	-131.394	55.876	
5397916	-5809	-724	626	-708.698	-88.328	76.372	
5418234	-5839	-540	705	-712.358	-65.880	86.010	
5438552	-6236	-633	742	-760.792	-77.226	90.524	
5458866	-7460	-958	945	-910.120	-116.876	115.290	
5479181	-8684	-1084	996	-1059.448	-132.248	121.512	
5499498	-9176	-1039	794	-1119.472	-126.758	96.868	
5519815	-8935	-1196	582	-1090.070	-145.912	71.004	
5540132	-8138	-1610	685	-992.836	-196.420	83.570	
5560448	-7237	-2334	1248	-882.914	-284.748	152.256	
5580763	-7465	-2691	1576	-910.730	-328.302	192.272	
5601079	-8861	-2190	1541	-1081.042	-267.180	188.002	
5621393	-9850	-1677	1235	-1201.700	-204.594	150.670	
5641706	-10505	-1741	601	-1281.610	-212.402	73.322	
5662021	-10603	-1861	423	-1293.566	-227.042	51.606	
5682336	-9701	-1545	664	-1183.522	-188.490	81.008	
5702651	-8936	-1592	809	-1090.192	-194.224	98.698	
5722966	-8551	-1960	843	-1043.222	-239.120	102.846	
5743279	-8280	-2243	805	-1010.160	-273.646	98.210	
5763593	-8216	-2450	664	-1002.352	-298.900	81.008	
5783907	-8260	-2715	350	-1007.720	-331.230	42.700	
5804222	-8266	-3087	0	-1008.452	-376.614	0.000	
5824537	-8287	-3391	-169	-1011.014	-413.702	-20.618	
5844852	-8257	-3383	-31	-1007.354	-412.726	-3.782	
5865165	-8102	-3209	286	-988.444	-391.498	34.892	
5885481	-8087	-2948	578	-986.614	-359.656	70.516	
5905794	-8485	-2856	863	-1035.170	-348.432	105.286	
5926109	-8892	-3077	1267	-1084.824	-375.394	154.574	
5946425	-9099	-3205	1536	-1110.078	-391.010	187.392	
5966741	-9643	-3163	1586	-1176.446	-385.886	193.492	
5987055	-11234	-3442	1869	-1370.548	-419.924	228.018	
6007373	-12463	-3732	2263	-1520.486	-455.304	276.086	
6027691	-12071	-3606	2202	-1472.662	-439.932	268.644	
6048009	-10638	-3529	2113	-1297.836	-430.538	257.786	
6068325	-8824	-3176	2456	-1076.528	-387.472	299.632	
6088642	-7508	-2751	2973	-915.976	-335.622	362.706	
6108961	-7390	-2840	3291	-901.580	-346.480	401.502	
6129280	-9276	-3145	3362	-1131.672	-383.690	410.164	
6149601	-10702	-3102	3139	-1305.644	-378.444	382.958	
6169918	-11245	-2726	2678	-1371.890	-332.572	326.716	
6190235	-11602	-2186	2321	-1415.444	-266.692	283.162	
6210551	-11082	-1567	2160	-1352.004	-191.174	263.520	
6230868	-10301	-977	1907	-1256.722	-119.194	232.654	
6251185	-9760	-480	1893	-1190.720	-58.560	230.946	
6271502	-9345	-170	1978	-1140.090	-20.740	241.316	
6291817	-8888	-267	1910	-1084.336	-32.574	233.020	
6312132	-8542	-538	1547	-1042.124	-65.636	188.734	
6332448	-8167	-750	1072	-996.374	-91.500	130.784	
6352765	-7716	-987	786	-941.352	-120.414	95.892	
6373083	-7276	-1195	714	-887.672	-145.790	87.108	
6393404	-6883	-1182	658	-839.726	-144.204	80.276	
6413722	-6571	-1037	667	-801.662	-126.514	81.374	
6434039	-6406	-923	549	-781.532	-112.606	66.978	
6454356	-6407	-811	477	-781.654	-98.942	58.194	
6474675	-6435	-726	349	-785.070	-88.572	42.578	
6494992	-6295	-873	384	-767.990	-106.506	46.848	
6515310	-6450	-1029	619	-786.900	-125.538	75.518	
6535628	-7394	-1043	751	-902.068	-127.246	91.622	
6555945	-8054	-1078	906	-982.588	-131.516	110.532	
6576265	-8404	-1144	924	-1025.288	-139.568	112.728	
6596582	-8194	-1179	796	-999.668	-143.838	97.112	
6616900	-7412	-1468	711	-904.264	-179.096	86.742	
6637216	-6869	-1831	729	-838.018	-223.382	88.938	
6657531	-7751	-1919	708	-945.622	-234.118	86.376	
6677848	-9222	-1618	803	-1125.084	-197.396	97.966	
6698164	-10006	-1541	805	-1220.732	-188.002	98.210	
6718479	-10376	-1774	594	-1265.872	-216.428	72.468	
6738795	-10067	-1808	377	-1228.174	-220.576	45.994	
6759110	-9319	-1850	228	-1136.918	-225.700	27.816	
6779425	-8695	-1941	140	-1060.790	-236.802	17.080	
6799739	-8427	-1883	115	-1028.094	-229.726	14.030	
6820055	-8469	-1866	70	-1033.218	-227.652	8.540	
6840372	-8585	-2104	-82	-1047.370	-256.688	-10.004	
6860688	-8739	-2437	-147	-1066.158	-297.314	-17.934	
6881007	-8896	-2651	-149	-1085.312	-323.422	-18.178	
6901323	-9007	-2665	-208	-1098.854	-325.130	-25.376	
6921639	-9050	-2659	-256	-1104.100	-324.398	-31.232	
6941957	-9061	-2862	-153	-1105.442	-349.164	-18.666	
6962273	-9386	-3231	288	-1145.092	-394.182	35.136	
6982588	-9695	-3549	519	-1182.790	-432.978	63.318	
7002903	-9663	-3651	853	-1178.886	-445.422	104.066	
7023219	-9710	-3675	1282	-1184.620	-448.350	156.404	
7043536	-10213	-3884	1512	-1245.986	-473.848	184.464	
7063854	-11075	-4268	1614	-1351.150	-520.696	196.908	
7084173	-11612	-4456	1752	-1416.664	-543.632	213.744	
7104489	-11269	-4577	1957	-1374.818	-558.394	238.754	
7124801	-10291	-4635	2232	-1255.502	-565.470	272.304	
7145116	-8465	-4176	2527	-1032.730	-509.472	308.294	
7165430	-7111	-3604	2661	-867.542	-439.688	324.642	
7185745	-7866	-3701	2718	-959.652	-451.522	331.596	
7206060	-9456	-4015	2495	-1153.632	-489.830	304.390	
7226374	-10090	-4003	1974	-1230.980	-488.366	240.828	
7246689	-10641	-3818	1434	-1298.202	-465.796	174.948	
7267005	-10917	-3286	1161	-1331.874	-400.892	141.642	
7287321	-10571	-2459	1022	-1289.662	-299.998	124.684	
7307637	-10054	-1657	961	-1226.588	-202.154	117.242	
7327955	-9672	-1018	1020	-1179.984	-124.196	124.440	
7348273	-9319	-534	1096	-1136.918	-65.148	133.712	
7368588	-8981	-291	1041	-1095.682	-35.502	127.002	
7388903	-8731	-345	852	-1065.182	-42.090	103.944	
7409218	-8398	-583	566	-1024.556	-71.126	69.052	
7429531	-8074	-807	383	-985.028	-98.454	46.726	
7449847	-7772	-974	304	-948.184	-118.828	37.088	
7470163	-7405	-1124	230	-903.410	-137.128	28.060	
7490479	-7035	-1202	169	-858.270	-146.644	20.618	
7510795	-6772	-1232	364	-826.184	-150.304	44.408	
7531112	-6772	-1193	650	-826.184	-145.546	79.300	
7551430	-6894	-1056	578	-841.068	-128.832	70.516	
7571746	-6847	-814	467	-835.334	-99.308	56.974	
7592063	-6998	-767	415	-853.756	-93.574	50.630	
7612379	-7319	-867	564	-892.918	-105.774	68.808	
7632696	-8159	-992	849	-995.398	-121.024	103.578	
7653013	-9034	-1054	901	-1102.148	-128.588	109.922	
7673330	-9123	-1432	757	-1113.006	-174.704	92.354	
7693648	-8423	-1973	841	-1027.606	-240.706	102.602	
7713963	-7552	-2180	1001	-921.344	-265.960	122.122	
7734278	-7361	-2901	1484	-898.042	-353.922	181.048	
7754596	-7877	-3467	1818	-960.994	-422.974	221.796	
7774912	-8114	-2456	1991	-989.908	-299.632	242.902	
7795226	-8549	-981	1684	-1042.978	-119.682	205.448	
7815545	-8803	-577	1271	-1073.966	-70.394	155.062	
7835862	-8293	-712	978	-1011.746	-86.864	119.316	
7856179	-7635	-767	955	-931.470	-93.574	116.510	
7876495	-7247	-951	913	-884.134	-116.022	111.386	
7896811	-7151	-1302	783	-872.422	-158.844	95.526	
7917128	-7293	-1795	606	-889.746	-218.990	73.932	
7937442	-7569	-2343	416	-923.418	-285.846	50.752	
7957756	-7957	-2797	236	-970.754	-341.234	28.792	
7978074	-8366	-3199	69	-1020.652	-390.278	8.418	
7998388	-8678	-3475	173	-1058.716	-423.950	21.106	
8018705	-8861	-3413	465	-1081.042	-416.386	56.730	
8039023	-8807	-2978	636	-1074.454	-363.316	77.592	
8059340	-8821	-2747	967	-1076.162	-335.134	117.974	
8079655	-9039	-2845	1408	-1102.758	-347.090	171.776	
8099972	-9376	-3096	1954	-1143.872	-377.712	238.388	
8120289	-9785	-3310	2120	-1193.770	-403.820	258.640	
8140604	-10100	-3718	1834	-1232.200	-453.596	223.748	
8160918	-10297	-4208	1586	-1256.234	-513.376	193.492	
8181233	-11024	-4436	1599	-1344.928	-541.192	195.078	
8201549	-12056	-4164	1846	-1470.832	-508.008	225.212	
8221863	-11847	-3601	2156	-1445.334	-439.322	263.032	
8242177	-11072	-3213	2313	-1350.784	-391.986	282.186	
8262495	-9443	-2857	2484	-1152.046	-348.554	303.048	
8282811	-7584	-2469	2400	-925.248	-301.218	292.800	
8303125	-7228	-2670	2181	-881.816	-325.740	266.082	
8323440	-8885	-3153	1916	-1083.970	-384.666	233.752	
8343754	-9542	-3186	1759	-1164.124	-388.692	214.598	
8364070	-9876	-3108	1389	-1204.872	-379.176	169.458	
8384388	-10414	-2957	992	-1270.508	-360.754	121.024	
8404705	-10094	-2210	663	-1231.468	-269.620	80.886	
8425022	-9440	-1407	639	-1151.680	-171.654	77.958	
8445338	-9162	-1076	513	-1117.764	-131.272	62.586	
8465653	-9000	-719	570	-1098.000	-87.718	69.540	
8485971	-8797	-318	688	-1073.234	-38.796	83.936	
8506289	-8621	-244	623	-1051.762	-29.768	76.006	
8526605	-8351	-608	426	-1018.822	-74.176	51.972	
8546921	-8265	-938	268	-1008.330	-114.436	32.696	
8567237	-8103	-1055	99	-988.566	-128.710	12.078	
8587551	-7742	-1247	10	-944.524	-152.134	1.220	
8607867	-7465	-1308	-20	-910.730	-159.576	-2.440	
8628182	-7281	-1021	-10	-888.282	-124.562	-1.220	
8648497	-7149	-566	44	-872.178	-69.052	5.368	
8668813	-6934	-44	158	-845.948	-5.368	19.276	
8689130	-6545	215	275	-798.490	26.230	33.550	
8709448	-6274	-132	488	-765.428	-16.104	59.536	
8729765	-6680	-680	685	-814.960	-82.960	83.570	
8750084	-8053	-1008	648	-982.466	-122.976	79.056	
8770399	-8768	-1027	542	-1069.696	-125.294	66.124	
8790715	-9181	-939	248	-1120.082	-114.558	30.256	
8811034	-8577	-1103	166	-1046.394	-134.566	20.252	
8831354	-7556	-1486	386	-921.832	-181.292	47.092	
8851675	-7662	-1601	777	-934.764	-195.322	94.794	
8871993	-8572	-1552	980	-1045.784	-189.344	119.560	
8892309	-9277	-1759	883	-1131.794	-214.598	107.726	
8912626	-10052	-1800	375	-1226.344	-219.600	45.750	
8932942	-10330	-1792	49	-1260.260	-218.624	5.978	
8953258	-9785	-2197	-208	-1193.770	-268.034	-25.376	
8973573	-9040	-2548	-393	-1102.880	-310.856	-47.946	
8993890	-8280	-2388	-311	-1010.160	-291.336	-37.942	
9014207	-7891	-2096	297	-962.702	-255.712	36.234	
9034525	-7897	-2301	300	-963.434	-280.722	36.600	
9054844	-8048	-2919	-362	-981.856	-356.118	-44.164	
9075160	-8127	-3183	-1196	-991.494	-388.326	-145.912	
9095478	-8186	-3399	-1884	-998.692	-414.678	-229.848	
9115797	-8327	-3900	-2261	-1015.894	-475.800	-275.842	
9136113	-8344	-4536	-2210	-1017.968	-553.392	-269.620	
9156432	-8113	-5028	-1999	-989.786	-613.416	-243.878	
9176749	-8069	-5068	-1737	-984.418	-618.296	-211.914	
9197066	-8522	-4732	-1541	-1039.684	-577.304	-188.002	
9217382	-8869	-4555	-1019	-1082.018	-555.710	-124.318	
9237697	-9134	-4443	-342	-1114.348	-542.046	-41.724	
9258014	-10299	-4303	-126	-1256.478	-524.966	-15.372	
9278330	-11122	-3481	-548	-1356.884	-424.682	-66.856	
9298647	-10227	-2063	-364	-1247.694	-251.686	-44.408	
9318962	-9601	-605	864	-1171.322	-73.810	105.408	
9339276	-9692	42	2045	-1182.424	5.124	249.490	
9359590	-8614	-965	1677	-1050.908	-117.730	204.594	
9379905	-7855	-1659	899	-958.310	-202.398	109.678	
9400218	-7203	-1322	899	-878.766	-161.284	109.678	
9420533	-7780	-555	1311	-949.160	-67.710	159.942	
9440850	-7818	683	32	-953.796	83.326	3.904	
